,Sales District,Sales District Name,Sales Office,Sales Office Name,Date (YYYYMM),GM per Emp,Sales Order per Emp,Sales Order Items per Emp,Sales Order Delivery per Emp,Non-Sales Order Delivery per Emp,Delivery Lines per Emp,Deliver Docs per Emp,RSO per Emp,Sales per Emp,High Sales Weight,Equal Sales and GM Weight,Equal Weights
WIPA201705,11,New York,WIPA,Williamsport,201705,Q,Q,Q,P,P,P,Q,Q,Q,B,A,A
WIPA201706,11,New York,WIPA,Williamsport,201706,Q,Q,Q,P,P,P,Q,Q,Q,B,A,A
WIPA201707,11,New York,WIPA,Williamsport,201707,Q,Q,Q,P,P,P,Q,Q,Q,B,A,A
WIPA201708,11,New York,WIPA,Williamsport,201708,R,Q,Q,P,P,P,P,Q,R,B,B,B
WIPA201709,11,New York,WIPA,Williamsport,201709,R,Q,Q,P,P,P,P,Q,R,B,B,B
WIPA201710,11,New York,WIPA,Williamsport,201710,R,R,Q,P,P,P,Q,Q,R,B,B,B
WIPA201711,11,New York,WIPA,Williamsport,201711,R,R,Q,P,P,P,Q,Q,Q,B,B,B
WIPA201712,11,New York,WIPA,Williamsport,201712,R,R,R,Q,P,Q,R,Q,R,C,C,C
WIPA201801,11,New York,WIPA,Williamsport,201801,S,R,R,R,P,R,R,Q,S,D,D,C
WIPA201802,11,New York,WIPA,Williamsport,201802,S,S,R,R,P,R,S,Q,S,D,D,D
WIPA201803,11,New York,WIPA,Williamsport,201803,S,S,S,R,Q,R,S,Q,S,D,D,D
WIPA201804,11,New York,WIPA,Williamsport,201804,S,S,S,R,P,R,R,Q,S,D,D,D
WIPA201805,11,New York,WIPA,Williamsport,201805,R,R,S,R,Q,R,S,Q,R,C,C,C
WIPA201806,11,New York,WIPA,Williamsport,201806,S,S,S,R,P,R,R,Q,S,D,D,D
WIPA201807,11,New York,WIPA,Williamsport,201807,S,S,R,R,Q,R,S,Q,S,D,D,D
WIPA201808,11,New York,WIPA,Williamsport,201808,R,R,R,P,Q,P,R,Q,R,C,B,B
WIPA201809,11,New York,WIPA,Williamsport,201809,S,R,R,Q,P,Q,S,Q,S,D,C,C
WIPA201810,11,New York,WIPA,Williamsport,201810,S,R,R,Q,P,Q,S,Q,S,D,C,C
WIPA201811,11,New York,WIPA,Williamsport,201811,R,R,R,Q,R,Q,R,Q,R,C,C,C
WIPA201812,11,New York,WIPA,Williamsport,201812,R,S,R,R,R,R,R,Q,S,D,D,C
WIPA201901,11,New York,WIPA,Williamsport,201901,S,R,R,Q,R,Q,S,Q,R,C,C,C
WIPA201902,11,New York,WIPA,Williamsport,201902,R,S,R,R,Q,R,S,Q,R,C,C,C
WIPA201903,11,New York,WIPA,Williamsport,201903,R,R,R,R,Q,R,R,Q,S,C,C,C
BOMA201701,12,Boston,BOMA,Boston,201701,,,,,,,,,,,,
BOMA201702,12,Boston,BOMA,Boston,201702,,,,,,,,,,,,
BOMA201703,12,Boston,BOMA,Boston,201703,,,,,,,,,,,,
BOMA201704,12,Boston,BOMA,Boston,201704,,,,,,,,,,,,
BOMA201705,12,Boston,BOMA,Boston,201705,,,,,,,,,,,,
BOMA201706,12,Boston,BOMA,Boston,201706,,,,,,,,,,,,
BOMA201707,12,Boston,BOMA,Boston,201707,,,,,,,,,,,,
BOMA201708,12,Boston,BOMA,Boston,201708,,,,,,,,,,,,
BOMA201709,12,Boston,BOMA,Boston,201709,,,,,,,,,,,,
BOMA201710,12,Boston,BOMA,Boston,201710,,,,,,,,,,,,
BOMA201711,12,Boston,BOMA,Boston,201711,,,,,,,,,,,,
BOMA201712,12,Boston,BOMA,Boston,201712,,,,,,,,,,,,
BOMA201801,12,Boston,BOMA,Boston,201801,,,,,,,,,,,,
BOMA201802,12,Boston,BOMA,Boston,201802,,,,,,,,,,,,
BOMA201803,12,Boston,BOMA,Boston,201803,,,,,,,,,,,,
BOMA201804,12,Boston,BOMA,Boston,201804,,,,,,,,,,,,
BOMA201805,12,Boston,BOMA,Boston,201805,,,,,,,,,,,,
BOMA201806,12,Boston,BOMA,Boston,201806,,,,,,,,,,,,
BOMA201807,12,Boston,BOMA,Boston,201807,,,,,,,,,,,,
BOMA201808,12,Boston,BOMA,Boston,201808,,,,,,,,,,,,
BOMA201809,12,Boston,BOMA,Boston,201809,,,,,,,,,,,,
BOMA201810,12,Boston,BOMA,Boston,201810,,,,,,,,,,,,
BOMA201811,12,Boston,BOMA,Boston,201811,,,,,,,,,,,,
BOMA201812,12,Boston,BOMA,Boston,201812,,,,,,,,,,,,
BOMA201901,12,Boston,BOMA,Boston,201901,,,,,,,,,,,,
BOMA201902,12,Boston,BOMA,Boston,201902,,,,,,,,,,,,
BOMA201903,12,Boston,BOMA,Boston,201903,,,,,,,,,,,,
BUVT201701,12,Boston,BUVT,Burlington,201701,S,R,R,S,S,S,S,Q,S,D,D,D
BUVT201702,12,Boston,BUVT,Burlington,201702,S,R,R,S,Q,S,S,Q,S,D,D,D
BUVT201703,12,Boston,BUVT,Burlington,201703,S,R,R,S,R,S,S,R,S,D,D,D
BUVT201704,12,Boston,BUVT,Burlington,201704,S,R,R,S,R,S,S,R,S,D,D,D
BUVT201705,12,Boston,BUVT,Burlington,201705,S,R,R,S,R,S,R,R,S,D,D,D
BUVT201706,12,Boston,BUVT,Burlington,201706,S,R,R,S,R,S,S,Q,S,D,D,D
BUVT201707,12,Boston,BUVT,Burlington,201707,S,R,R,S,Q,R,S,R,S,D,D,D
BUVT201708,12,Boston,BUVT,Burlington,201708,R,R,R,S,R,S,R,R,S,D,D,D
BUVT201709,12,Boston,BUVT,Burlington,201709,R,R,R,S,R,S,R,R,R,C,C,C
BUVT201710,12,Boston,BUVT,Burlington,201710,R,R,R,S,Q,S,R,R,R,C,C,C
BUVT201711,12,Boston,BUVT,Burlington,201711,S,Q,Q,R,P,R,R,R,S,D,C,C
BUVT201712,12,Boston,BUVT,Burlington,201712,R,Q,R,R,P,R,R,R,R,C,C,C
BUVT201801,12,Boston,BUVT,Burlington,201801,R,Q,R,R,P,R,R,R,R,C,C,C
BUVT201802,12,Boston,BUVT,Burlington,201802,R,Q,R,R,Q,R,R,R,R,C,C,C
BUVT201803,12,Boston,BUVT,Burlington,201803,R,Q,R,S,R,S,R,R,R,C,C,C
BUVT201804,12,Boston,BUVT,Burlington,201804,Q,Q,R,R,P,R,R,R,Q,B,B,B
BUVT201805,12,Boston,BUVT,Burlington,201805,R,Q,R,S,Q,R,R,R,R,C,C,C
BUVT201806,12,Boston,BUVT,Burlington,201806,R,Q,R,S,Q,S,R,R,R,C,C,C
BUVT201807,12,Boston,BUVT,Burlington,201807,R,Q,R,S,Q,S,R,R,S,D,D,C
BUVT201808,12,Boston,BUVT,Burlington,201808,R,Q,R,S,Q,S,R,R,R,C,C,C
BUVT201809,12,Boston,BUVT,Burlington,201809,R,Q,R,R,P,R,R,R,R,C,C,C
BUVT201810,12,Boston,BUVT,Burlington,201810,R,Q,R,R,R,R,R,R,S,D,C,C
BUVT201811,12,Boston,BUVT,Burlington,201811,R,Q,Q,R,Q,R,R,R,R,C,C,C
BUVT201812,12,Boston,BUVT,Burlington,201812,R,Q,R,R,R,R,R,R,R,C,C,C
BUVT201901,12,Boston,BUVT,Burlington,201901,R,Q,R,S,Q,S,R,R,R,C,C,C
BUVT201902,12,Boston,BUVT,Burlington,201902,R,Q,R,S,Q,S,R,R,S,D,D,C
BUVT201903,12,Boston,BUVT,Burlington,201903,R,Q,R,S,R,S,R,R,R,C,C,C
MANH201701,12,Boston,MANH,Manchester,201701,Q,Q,Q,Q,S,Q,Q,Q,Q,B,B,B
MANH201702,12,Boston,MANH,Manchester,201702,Q,R,R,Q,R,Q,Q,Q,Q,B,B,B
MANH201703,12,Boston,MANH,Manchester,201703,Q,R,R,Q,S,Q,Q,R,Q,B,B,C
MANH201704,12,Boston,MANH,Manchester,201704,Q,R,R,Q,S,Q,Q,Q,Q,B,B,B
MANH201705,12,Boston,MANH,Manchester,201705,Q,R,R,Q,R,R,Q,Q,P,B,B,B
MANH201706,12,Boston,MANH,Manchester,201706,Q,R,R,Q,S,Q,Q,Q,P,B,B,B
