,Sales District,Sales District Name,Sales Office,Sales Office Name,Date (YYYYMM),GM per Emp,Sales Order per Emp,Sales Order Items per Emp,Sales Order Delivery per Emp,Non-Sales Order Delivery per Emp,Delivery Lines per Emp,Deliver Docs per Emp,RSO per Emp,Sales per Emp,High Sales Weight,Equal Sales and GM Weight,Equal Weights
NJSC201702,11,New York,NJSC,New Jersey Service Center,201702,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
NJSC201703,11,New York,NJSC,New Jersey Service Center,201703,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
NJSC201704,11,New York,NJSC,New Jersey Service Center,201704,10.0,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,20.0,21.5,23.0
NJSC201705,11,New York,NJSC,New Jersey Service Center,201705,10.0,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,20.0,21.5,23.0
NJSC201706,11,New York,NJSC,New Jersey Service Center,201706,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
NJSC201707,11,New York,NJSC,New Jersey Service Center,201707,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
NJSC201708,11,New York,NJSC,New Jersey Service Center,201708,10.0,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,20.0,21.5,23.0
NJSC201709,11,New York,NJSC,New Jersey Service Center,201709,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
NJSC201710,11,New York,NJSC,New Jersey Service Center,201710,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
NJSC201711,11,New York,NJSC,New Jersey Service Center,201711,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
NJSC201712,11,New York,NJSC,New Jersey Service Center,201712,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
NJSC201801,11,New York,NJSC,New Jersey Service Center,201801,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
NJSC201802,11,New York,NJSC,New Jersey Service Center,201802,10.0,10.0,10.0,40.0,40.0,40.0,40.0,30.0,,,,
NJSC201803,11,New York,NJSC,New Jersey Service Center,201803,,10.0,10.0,40.0,40.0,40.0,40.0,30.0,10.0,,,
